Tiempo;ErrorMat;Caidas;NivelFrustracion;Estado
159.8314;0;0;0;Optimo
1.304784;0;0;6.287879;Optimo
21.74598;0;0;6.287879;Optimo
25.49759;0;0;0;Optimo
25.49759;0;0;0;Optimo
50.16101;0;0;0;Optimo
53.80231;0;0;0;Optimo
53.80231;0;0;0;Optimo
88.13784;0;0;0;Optimo
53.6354;0;0;0;Optimo
54.98319;0;0;0;Optimo
54.98319;0;0;0;Optimo
108.4313;0;0;0;Optimo
3.808082;0;1;6.287879;Optimo
41.37574;0;0;16.2415;Enganchado
41.19633;0;1;15.29746;Enganchado
7.759997;0;4;83.42106;Bloqueado
41.23203;0;0;15.43577;Enganchado
80.64017;0;0;46.14754;Frustrado
83.4226;0;0;70.20618;Bloqueado
2.057357;0;0;27.08333;Enganchado
2.097357;0;0;53.45133;Frustrado
7.879997;0;4;83.42106;Bloqueado
15.88182;0;4;83.42106;Bloqueado
17.67978;0;4;83.42106;Bloqueado
23.17038;0;4;83.42106;Bloqueado
25.23846;0;4;83.42106;Bloqueado
26.66012;0;4;83.42106;Bloqueado
28.0216;0;4;83.42106;Bloqueado
30.48964;0;4;83.42106;Bloqueado
32.19054;0;4;83.42106;Bloqueado
42.95636;0;4;69.78008;Frustrado
1.38582;0;0;5.555556;Optimo
11.94;0;4;83.42106;Bloqueado
16.58296;2;0;31.09756;Enganchado
41.22676;0;0;15.40605;Enganchado
80.51812;0;0;45.15726;Frustrado
83.41733;0;0;70.27856;Bloqueado
77.87016;1;1;15.5634;Enganchado
117.3461;1;1;46.96643;Frustrado
120.0725;1;1;70.4786;Bloqueado
41.18758;0;0;15.1807;Enganchado
18.49933;0;0;27.08333;Enganchado
18.53933;0;0;53.45133;Frustrado
7.446115;0;0;27.08333;Enganchado
1.015613;0;0;27.08333;Enganchado
1.222705;0;0;27.08333;Enganchado
1.296982;0;0;27.08333;Enganchado
0.6969956;0;0;27.08333;Enganchado
1.739602;0;0;27.08333;Enganchado
24.26125;0;0;53.45133;Frustrado
1.042567;0;0;27.08333;Enganchado
3.274865;0;0;53.45133;Frustrado
1.758584;0;0;27.08333;Enganchado
2.938158;0;0;53.45133;Frustrado
1.206318;0;0;27.08333;Enganchado
2.481831;0;0;53.45133;Frustrado
1.478252;0;0;27.08333;Enganchado
3.087861;0;0;53.45133;Frustrado
2.144014;0;0;27.08333;Enganchado
3.082607;0;0;53.45133;Frustrado
28.47074;0;0;0;Optimo
31.16036;0;0;27.08333;Enganchado
104.8652;0;0;57.64705;Frustrado
123.44;0;0;85.59813;Bloqueado
10.60513;0;0;0;Optimo
14.73257;0;0;27.08333;Enganchado
8.125379;0;0;0;Optimo
16.34478;0;0;27.08333;Enganchado
14.91123;0;0;27.08333;Enganchado
0.6092753;0;0;27.08333;Enganchado
1.505018;0;0;53.45133;Frustrado
5.016131;0;0;27.08333;Enganchado
15.26774;0;0;0;Optimo
9.262564;0;0;0;Optimo
1.191406;0;0;27.08333;Enganchado
8.155086;0;0;0;Optimo
14.06159;0;0;27.08333;Enganchado
56.35678;0;0;55.1453;Frustrado
4.406607;0;0;27.08333;Enganchado
16.03135;0;0;0;Optimo
57.16105;0;0;15.14275;Enganchado
9.605573;0;0;0;Optimo
50.80508;0;0;15.42582;Enganchado
90.11449;0;0;45.22125;Frustrado
93.07207;0;0;70.81093;Bloqueado
9.12709;0;0;0;Optimo
27.96136;0;0;27.08333;Enganchado
38.06583;0;1;53.45133;Frustrado
9.923043;0;0;0;Optimo
1.432149;0;0;27.08333;Enganchado
9.625628;0;0;0;Optimo
50.80951;0;0;15.28357;Enganchado
90.23361;0;0;46.04863;Frustrado
93.01693;0;0;70.12553;Bloqueado
8.930665;0;0;0;Optimo
1.600168;0;0;27.08333;Enganchado
10.88677;0;0;0;Optimo
17.33849;0;0;27.08333;Enganchado
61.17269;0;0;57.37895;Frustrado
1.457822;0;0;27.08333;Enganchado
1.497822;0;0;53.45133;Frustrado
19.89116;0;0;27.08333;Enganchado
25.71191;0;0;53.45133;Frustrado
